IBAN,Nume Beneficiar,CUI,Nume Partener
RO22BTRLRONCRT0V03440501,Nosmas Prod Com SRL,6515367,NOSMAS PROD COM S.R.L.
RO54RNCB0857177737480001,IRIDE DEVELOPMENT SRL,49202797,IRIDE DEVELOPMENT S.R.L.
RO85UGBI0000652002487RON,SEVERIN SHOPPING CENTER SRL,RO30831966,SEVERIN SHOPPING CENTER SRL
RO94BACX0000000504579045,POLARIS MEDIU S.R.L.,RO17617346,POLARIS MEDIU S.R.L.
RO05BTRL00601202R09878XX,URBANA SA,563934,URBANA SA
RO44BACX0000000030933310,UNIREA SHOPPING CENTER SA,RO328521,UNIREA SHOPPING CENTER SA
RO56INGB0000999903574838,Cria Soft Solutions SRL,RO31328572,CRIA SOFT SOLUTIONS SRL
RO07BTRL04401202E68508XX,Maxis Cell SRL,RO21875963,MAXIS CELL SRL
RO97BRDE450SV79005594500,PLOIESTI SHOPPING CITY SRL,24725278,PLOIESTI SHOPPING CITY SRL
RO22RZBR0000060023343532,DAMBOVITA MALL S.R.L.,RO37175931,DAMBOVITA MALL S.R.L.
RO43RNCB0175148248250001,Iulius Mall Cluj SRL,RO18528158,IULIUS MALL CLUJ SRL
RO95BACX0000003029228000,HELLO SHOPPING PARK SRL,RO18574766,HELLO SHOPPING PARK SRL
RO84RNCB0175055419400001,Iulius Mall Timisoara SRL,RO17858395,IULIUS MALL TIMISOARA SRL
RO94BACX0000000030063096,ALLIANZ TIRIAC ASIGURARI SA,,
RO92TREZ15120G330800XXXX,DSVSA BRAILA,4205645,DSVSA Braila
RO54BACX0000004522230040,POLARIS M HOLDING SRL,12079629,POLARIS M.HOLDING SRL
RO42BACX0000001147738190,TABAC XPRESS SRL,RO34626921,TABAC XPRESS SRL
RO34BRDE030SV56521080300,GIREXIM UNIVERSAL SA,RO9054608,GIREXIM UNIVERSAL SA
RO87EGNA1010000001152246,DTK RENT CONCEPT S.R.L.,RO36085806,DTK RENT CONCEPT S.R.L.
RO60RZBR0000060015434923,BMF Total Serv SRL,RO31238674,BMF TOTAL SERV SRL
RO73BRMA101000011431RO06,BIN GO SOLUTIONS SRL,RO6089555,BIN GO SOLUTIONS S.R.L.
RO45BACX0000001189168000,COMETEX SRL,RO713535,COMETEX SRL
RO19RZBR0000060021518240,OP RETAIL CENTER S.R.L.,RO34840584,OP RETAIL CENTER S.R.L.
RO80CARP0451P0065595RO01,Tomis SA,1891794,TOMIS S.A.
RO68BACX0000003894274001,Contr-All End SRL,18191167,CONTR-ALL END S.R.L.
RO45UGBI0000812002785RON,BISTRITA RETAIL PARK S.R.L.,RO37866384,BISTRITA RETAIL PARK SRL
RO93BACX0000002234547000,BLACK NEST S.R.L.,RO28628413,BLACK NEST S.R.L.
RO02BTRLRONCRT0P77557301,EUROINVEST INTERMED SRL,RO16386782,EUROINVEST INTERMED SRL
RO58RNCB0175033618400015,IULIUS GROUP SRL,RO1977551,IULIUS GROUP SRL
RO29BTRLRONCRT0CY3723801,CRISTITA IMOBILIARE LOGISTIC S.R.L.,51749673,CRISTITA IMOBILIARE LOGISTIC S.R.L.
RO98RNCB0103022311200001,TIMIS SA,RO1067289,TIMIS SA
RO42BTRL04101202T73446XX,3G LOGISTIC & MERCHANDISING SRL,RO26266201,3G LOGISTIC & MERCHANDISING SRL
RO92RNCB0118124708860001,EFELER DEVELOPMENT SRL,RO28411804,EFELER DEVELOPMENT SRL
RO31RNCB0026183747990001,KTR TRANS ENERGY S.R.L.,RO47851950,KTR TRANS ENERGY S.R.L.
RO93BTRL04001202R81237XX,BENIDAYS SRL,RO25591980,BENIDAYS S.R.L.
RO53BACX0000001147738186,TABAC XPRESS SRL,RO34626921,TABAC XPRESS SRL
RO67BRDE210SV54370572100,MATULA MEDIA SRL,RO41547928,MATULA MEDIA S.R.L.
RO07CITI0000000724786006,Strauss Romania SRL,RO5990561,STRAUSS ROMANIA SRL
RO24BACX0000001147738029,TABAC XPRESS SRL,RO34626921,TABAC XPRESS SRL
RO40BRDE210SV44857352100,Ludicus Games SRL,RO35756687,LUDICUS GAMES SRL
RO26BRDE441SV04710414410,ERCPRESS DISTRIBUTION S.R.L.,RO43639050,ERCPRESS DISTRIBUTION S.R.L.
RO20TREZ7002035010102XXX,Trezoreria Mun. Bucuresti,,
RO13INGB0001000119128915,Coca-Cola HBC Romania SRL,RO474152,COCA-COLA HBC ROMANIA S.R.L.
RO41UGBI0000042018954RON,Vitacom Electronics SRL,RO214527,VITACOM ELECTRONICS SRL
RO10TREZ7005503XXXXXXXXX,Bugetul de stat Bucuresti,,
RO32TREZ70020A470300XXXX,Bugetul de stat CAM Bucuresti,,
RO10TREZ70020A100101XTVA,Bugetul de Stat TVA Bucuresti,,
RO65INGB0001008214468910,PRIME COM TRADE NETWORK SRL,RO23544311,PRIME COM TRADE NETWORK SRL
RO25RNCB0053048576140001,Cardex Rom SRL,RO9020354,CARDEX ROM SRL
RO22BTRLRONCRT0217038701,OVIDANMARC SRL,RO31801726,OVIDANMARC SRL
RO22RZBR0000060010517610,FESTIVAL SHOPPING CENTER SRL,RO24031527,FESTIVAL SHOPPING CENTER S.R.L.
RO75CECEB00030RON2628600,VOX TECHNOLOGY PARK SRL,RO33679340,VOX TECHNOLOGY PARK SRL
RO39BACX0000001147738050,TABAC XPRESS SRL,RO34626921,TABAC XPRESS SRL
RO78RNCB0072049674220001,Asociatia GS1 Romania,5659755,ASOCIATIA GS1 ROMANIA
RO64BACX0000002170748003,FUNSHOP PARK TIMISOARA S.R.L.,RO43808558,FUNSHOP PARK TIMISOARA S.R.L.
RO82RZBR0000060023344198,PRAHOVA VALUE CENTRE SRL,RO36783701,PRAHOVA VALUE CENTRE S.R.L.
RO07INGB0000999904474134,Bogdan Mioara,,
RO14RZBR0000060018485819,RETAIL PARK PITESTI S.R.L.,RO18572838,RETAIL PARK PITESTI SRL
RO90RNCB0082049703600003,Militari Shopping Centre SRL,RO13923725,MILITARI SHOPPING CENTRE S.R.L.
RO63RNCB0070167655730002,Apple Development SRL,RO36588484,APPLE DEVELOPMENT SRL
RO73TREZ18120G330800XXXX,DSVSA CARAS SEVERIN,3227068,DSVSA CARAS-SEVERIN
RO46RZBR0000060010424349,COTROCENI PARK SA,RO16785112,COTROCENI PARK SA
RO64BRDE450SV11402104500,Auchan Romania SA,17233051,AUCHAN ROMANIA SA
RO33RZBR0000060017476192,VULCAN VALUE CENTRE S.R.L,RO29563533,VULCAN VALUE CENTRE SRL
RO46RNCB0077114083120002,AFI PARK TIMISOARA BUILDI ch comune,RO1067289,TIMIS SA
RO14BTRLRONCRT0CX8475401,HFS INVEST S.R.L.,18169674,HFS INVEST S.R.L.
RO96INGB0000999903734847,Comtec Net SRL,RO1558561,COMTEC NET SRL
RO58BACX0000001128671000,ELSI COM SRL,ro14858455,ELSI COM SRL
RO28RZBR0000060016736075,Cluj Business Centre SRL,30391679,CLUJ BUSINESS CENTRE S.R.L.
RO32RZBR0000060009194059,Flash Consult Invest SRL,15392727,FLASH CONSULT INVEST SRL
RO44BTRLRONCRT0CU7718101,BSC IMORENT EXPERT S.R.L.,50579309,BSC IMORENT EXPERT S.R.L.
RO19BTRL00501202U05750XX,RER VEST S.A.,RO8309690,RER VEST S.A.
RO53RNCB0072176709800001,ERMES HOLDING SRL,RO17852937,ERMES HOLDING SRL
RO33RZBR0000060024427309,Baia Mare Value CentreSRL,RO36782714,BAIA MARE VALUE CENTRE S.R.L.
RO18PIRB0806788356090000,SAM MONTHLY S.R.L.,RO40224902,SAM MONTHLY S.R.L.
RO97BACX0000000030193313,VODAFONE ROMANIA SA,RO8971726,VODAFONE ROMANIA SA
RO91RZBR0000060021455446,AFI Brasov SRL,,
RO22RZBR0000060015303493,PROMENADA MALL BUCURESTI SRL,RO18020418,PROMENADA MALL BUCURESTI S.R.L.
RO84CECEB00030RON0192574,VERANDA OBOR S.A.,RO33599063,VERANDA OBOR S.A.
RO65RNCB0070167650840002,MANGO DEVELOPMENT SRL,RO39543142,MANGO DEVELOPMENT S.R.L.
RO46RZBR0000060017472660,TARGU JIU DEVELOPMENT SRL,RO30832015,TARGU JIU DEVELOPMENT SRL
RO92BACX0000000393507000,COMPANIA ROMPREST SERVICE SA,RO13788556,COMPANIA ROMPREST SERVICE SA
RO27RZBR0000060023343927,SEPSI VALUE CENTRE S.R.L.,RO37175893,SEPSI VALUE CENTRE S.R.L.
RO83RZBR0000060025881603,AFI Arad SRL,RO19167949,AFI ARAD S.R.L.
RO28BACX0000000070276313,METROPOLIS INVESTITII IMOBILIARE SR,RO17176002,METROPOLIS INVESTITII IMOBILIARE SRL
RO40BRDE210SV45288032100,Color Point Advertising SRL,RO24713311,COLOR POINT ADVERTISING SRL
RO23BTRLRONCRT0295103701,COMPREST SA,RO1095130,COMPREST SA
RO22BTRLRONCRT0T191B1503,FUNSHOP PARK ARAD S.R.L.,42858167,FUNSHOP PARK ARAD S.R.L.
RO91CITI0000000000293628,BRAILA PROMENADA MALL SRL,RO18762336,BRAILA PROMENADA MALL SRL
RO78BACX0000002536720021,Suceava Shopping City SRL,18906890,SUCEAVA SHOPPING CITY SRL
RO77BTRL04301202W56322XX,MAGUAY COMPUTERS SRL,RO12167046,MAGUAY COMPUTERS SRL
RO71BTRLRONCRT0676032701,PK EMERALD SRL,RO37176023,PK EMERALD SRL
RO13RZBR0000060015230226,AFI PALACE PLOIESTI S.R.L.,RO20844047,AFI PALACE PLOIESTI S.R.L.
RO62CECEB00030RON0192582,VERANDA OBOR SA utilitati,RO33599063,VERANDA OBOR S.A.
RO64RNCB0175175273970001,UNITED ENERGY S.R.L.,RO48123938,UNITED ENERGY S.R.L.
RO58RNCB0081104613950001,CARGUS SRL,RO3541906,CARGUS S.R.L.
RO66UGBI0000652001756RON,Galati Shopping City SRL,30356000,GALATI SHOPPING CITY SRL
RO12BRDE450SV62135114500,Ceetrus Romania SRL,RO22217990,CEETRUS ROMANIA S.R.L.
RO19FNNB001302502632RO02,Ecovol SA,RO21551614,ECOVOL SA
RO94BACX0000000189518001,DIGI ROMANIA SA,5888716,DIGI ROMANIA S.A.
RO93BACX0000000070111310,S.R.C.C. RENTCOM S.R.L.,RO16016577,S.R.C.C. RENTCOM SRL
RO05RZBR0000060017472622,SATU MARE SHOPPING CITY SRL,RO32709931,SATU MARE SHOPPING CITY SRL
RO37RNCBX899999402000000,OMNIASIG VIENNA INSURANCE GROUP S.A,,
RO64RZBR0000060020420360,SC TRIPONT INVEST SRL,16642384,TRIPONT INVEST SRL
RO29BACX0000001159654001,Retail Development Invest 1 SRL,21542152,RETAIL DEVELOPMENT INVEST 1 SRL
RO65INGB0001008174148920,Felicia Shopping Center SRL,RO19834643,FELICIA SHOPPING CENTER SRL
RO53RZBR0000060011442432,IRIS TITAN SHOPPING CENTER SRL,RO17545630,IRIS TITAN SHOPPING CENTER S.R.L.
RO81BACX0000002840345002,PK TOPAZ SRL,39426673,PK TOPAZ S.R.L.
RO95RNCB0072173748520001,Atrium Mall SRL,RO19488213,ATRIUM MALL S.R.L.
RO06UGBI0000652002475RON,Deva Shopping City SRL,RO17784816,DEVA SHOPPING CITY S.R.L.
RO25BTRLRONCRT0T15194B03,Funshop Park Focsani SRL,RO41515411,FUNSHOP PARK FOCSANI S.R.L.
RO03RNCB0054135108500001,Dab Tehnic SRL,RO30327420,DAB TEHNIC SRL
RO66PIRB4219758007001000,ROMANIAN SECURITY SYSTEMS SRL,RO4381862,ROMANIAN SECURITY SYSTEMS SRL
RO33BTRL01601202998066XX,S.C. METEX S.A,RO912767,METEX SA
RO58RNCB0484167913160002,SUPERNOVA PIT RO S.R.L.,RO43031574,SUPERNOVA PIT RO S.R.L.
RO18BACX0000000034813002,MILLER CENTRE SRL,RO17091976,MILLER CENTRE S.R.L.
RO20RZBR0000060006120054,GENERAL BUILDING MANAGEMENT S.R.L.,RO16702575,GENERAL BUILDING MANAGEMENT S.R.L.
RO60INGB0001008142398970,Carrefour Romania SA BRASOV,11588780,CARREFOUR ROMANIA SA
RO04BACX0000001122379000,TEAM FIRST SOFTWARE&CONSULTING SRL,17606649,TEAM FIRST SOFTWARE & CONSULTING SRL
RO08BACX0000000030877310,Orange Romania SA,RO9010105,ORANGE ROMANIA SA
RO20RZBR0000060017487193,Shopping City Piatra Neamt SRL,RO32704667,Shopping City Piatra Neamt SRL
RO52BACX0000000030870310,UNICREDIT INSURANCE BROKER SRL,15514018,UNICREDIT INSURANCE BROKER SRL
RO68INGB0000999906917048,MAGNETELLA SOUVENIRS SRL,RO27513849,MAGNETELLA SOUVENIRS SRL
RO63TREZ57621160250XXXXX,Orasul Cisnadie,,
RO83BTRLRONCRT0CX5475501,ASOCIATIA CLUB SPORTIV SCOALA DE GI,,
RO02INGB0001008156558910,Kaufland Romania SCS,RO15991149,KAUFLAND ROMANIA SCS
RO87BACX0000000030655310,UNICREDIT LEASING CORPORATION IFN S,RO14600820,UNICREDIT LEASING CORPORATION IFN SA
RO22BACX0000001147738356,TABAC XPRESS SRL,RO34626921,TABAC XPRESS SRL
RO90BTRLRONCRTS689238402,S.C. RETAIL PARK MEDGIDIA SRL,RO48030316,RETAIL PARK MEDGIDIA S.R.L.
RO68RNCB0175173514310001,RIVUS INVESTMENTS S.R.L.,RO44960170,RIVUS INVESTMENTS S.R.L.
RO35BTRLRONCRT0575736901,Bookster Experience SRL,RO43370198,BOOKSTER EXPERIENCE S.R.L.
RO54RZBR0000060023161469,SUPERNOVA ALEXANDRIEI RO S.R.L.,RO44853964,SUPERNOVA ALEXANDRIEI RO S.R.L.
RO86BTRLRONCRT0688067803,GLOBAL LEGAL ASISTANCE S.R.L.,16938534,GLOBAL LEGAL ASISTANCE S.R.L.
RO41BACX0000001147738014,TABAC XPRESS SRL,RO34626921,TABAC XPRESS SRL
RO51BACX0000000114409250,Tempera Advertising SRL,21597794,TEMPERA ADVERTISING SRL
RO27RNCB0070165465760001,Pipera Retail Development One srl,32824400,PIPERA RETAIL DEVELOPMENT ONE SRL
RO90RNCB0182012035210001,Drusal SA,RO7233879,DRUSAL SA
RO59RNCB0090159699510005,PORTLAND TRUST DEVELOPMENTS FOUR,RO39557008,PORTLAND TRUST DEVELOPMENTS FOUR S.R.L.
RO49BREL0002001012050100,MOBITEL SERVICII TELECOM S.R.L.,RO27198571,MOBITEL SERVICII TELECOM SRL
RO79UGBI0000052034308RON,Complex Comercial Brintex SRL,RO43511203,COMPLEX COMERCIAL BRINTEX S.R.L.
RO88BACX0000001147738138,TABAC XPRESS SRL,RO34626921,TABAC XPRESS SRL
RO21CITI0000000798889001,UiPath SRL,34737997,UIPATH SRL
RO81RZBR0000060004611285,SUPERNOVA LUJERULUI RO SRL,RO14192240,SUPERNOVA LUJERULUI RO S.R.L.
RO72RZBR0000060022911952,Venus Commercial Center SRL,RO18837919,VENUS COMMERCIAL CENTER SRL
RO94FNNB0004034682340001,GSM CENTER PFONE SRL,RO13742311,GSM CENTER PFONE SRL
RO63BTRLRONCRT0668600802,FUNSHOP PARK MOSNITA S.R.L.,RO41293633,FUNSHOP PARK MOSNITA S.R.L.
RO54BACX0000000124823310,ENGIE ROMANIA SA,RO13093222,ENGIE ROMANIA S.A.
RO08RNCB0070163910690002,Intercora Property SRL,RO22672673,INTERCORA PROPERTY SRL
RO09WBAN0309F2542672RO02,RC ORADEA DEVELOPMENT SRL,RO39037404,RC ORADEA DEVELOPMENT S.R.L.
RO55MIRO0000907159860101,CATEX S.A - CALARASI,RO1910608,CATEX SA
RO34BTRLRONCRT0T162E4E01,WINSYS COMPUTERS S.R.L.,43871903,WINSYS COMPUTERS S.R.L.
RO19BTRLRONCRT0337019801,MULTI TASKS EXPERT SRL-D,35697076,MULTI TASKS EXPERT SRL-D
RO19RNCB0077114083120003,AFI PARK TIMISOARA BUILDINGS chirie,RO1067289,TIMIS SA
RO87CECEB31530RON4475930,ANA TOWER OFFICES SRL,RO28416674,ANA TOWER OFFICES SRL
RO49BACX0000002247109001,A3 RETAIL PARK SRL,RO43296423,A3 RETAIL PARK S.R.L.
RO28BACX0000003011750000,BEGA TURISM SA,RO1826281,BEGA TURISM SA
RO82BTRL01701202475327XX,SENIC COM SRL,5651344,SENIC COM SRL
RO23BACX0000002072211000,Enache Gabriela Roxana,2770122421553,Enache Gabriela
RO82BACX0000001171841000,Hampel Claudia-Maria,24730819,MAR SRL
RO22BACX0000002115784000,Goga Carmen,,
RO08BACX0000002072123000,Enache Daniela-Florentina,2810419410089,Enache Daniela
RO39BACX0000002146581000,Han Sofia,,
RO41BACX0000002072239000,Vlagea Oana Maria,24730819,MAR SRL
RO79BACX0000001147738300,TABAC XPRESS SRL,RO34626921,TABAC XPRESS SRL
RO60BACX0108509356622251,Unicredit Bank SA,361536,UNICREDIT BANK S.A.
RO08INGB0000999904503604,Thomas Zoltan Schwartz,,
RO76BACX0000003013312000,TIMPRESS SA,RO1812960,TIMPRESS SA
RO65BACX0000001147738164,TABAC XPRESS SRL,RO34626921,TABAC XPRESS SRL
RO09BACX0000001147738493,TABAC XPRESS SRL,RO34626921,TABAC XPRESS SRL
RO55INGB0000999907008850,MECANERO GES SERVICE SRL,RO5462388,MECANERO GES SERVICE S.R.L.
RO84BACX0000001147738016,TABAC XPRESS SRL,RO34626921,TABAC XPRESS SRL
RO85WBAN0004F2333854RO01,Sechelariu Violeta,,
RO18INGB0000999908284387,STAGHAUS Architecture S.R.L.,RO39825542,STAGHAUS ARCHITECTURE S.R.L.
RO35BACX0000001231052004,HERMANN LOGISTICS SPACE SRL,RO35348181,HERMANN LOGISTICS SPACE SRL
RO41RZBR0000060003176308,INDUSTRIAL DEVELOPMENT ENTERPRISE,RO9910557,INDUSTRIAL DEVELOPMENT ENTERPRISE IRIDE SA
RO19BACX0000000214353000,PPC ENERGIE S.A.,RO22000460,PPC ENERGIE S.A.
RO88RZBR0000060020425360,Polus Transilvania Companie de Inv.,RO9693652,POLUS TRANSILVANIA COMPANIE DE INVESTITII S.A.
RO23BTRL00501202745941XX,Crisul Supermarket SA,RO56290,CRISUL SUPERMARKET SA
RO79TREZ70121070203XXXXX,DIREC?IA GENERALA DE IMPOZITE SI TA,,
RO54BTRLRONCRT0409884601,CRIVOI DAN,,
RO81BACX0000002679671001,RC MIERCUREA CIUC DEVELOPMENT SRL,RO34122860,RC MIERCUREA CIUC DEVELOPMENT S.R.L.
RO59WBAN0303F2589144RO02,SAM MONTHLY S.R.L.,RO40224902,SAM MONTHLY S.R.L.
RO13BTRLRONCRT0367765902,SC ENTIRE REAL ESTATE SOLUTIONS SRL,RO22784472,ENTIRE REAL ESTATE SOLUTIONS SRL
RO81BRDE260SV09839602600,S.C.DECEBAL TRADE S.R.L,RO1606154,DECEBAL TRADE S.R.L.
RO13TREZ04620G330800XXXX,DSVSA  ARGES,4122230,DSVSA  ARGES
RO11WBAN0004F2106503RO01,A.S FOTBAL CLUB MUNICIPAL BACAU,RO9366090,"ASOCIATIA "" FOTBAL CLUB MUNICIPAL BACAU "" AFJ"
RO13RZBR0000060008452642,BRANTNER SERVICII ECOLOGICE SRL,RO7180367,BRANTNER SERVICII ECOLOGICE SRL
RO15RNCB0070169455610001,APG DEVELOPMENT SLATINA SRL,RO34264210,APG DEVELOPMENT SLATINA SRL
RO22BRDE030SV05736000300,SALUBRITATE 2000 SA,RO13031718,SALUBRITATE 2000 SA
RO92RZBR0000060023389705,S7 GIURGIU PROPERTY S.R.L.,RO44031211,S7 GIURGIU PROPERTY S.R.L.
RO90BTRLRONCRT0691311702,CURTEA DE ARGES RETAIL PARK S.R.L.,RO48865210,CURTEA DE ARGES RETAIL PARK S.R.L.
RO93BRDE210SV66104142100,ECO-CSIK SRL,25741662,ECO-CSIK SRL
RO37RNCB0070167656250002,ORANGE DEVELOPMENT ONE SRL,RO38411119,ORANGE DEVELOPMENT ONE SRL
RO36WBAN03031V037541RO09,ISRO HOUSE SRL,RO15941450,ISRO HOUSE SRL
RO33BRDE180SV13073071800,COMPANIA UTILITATI PUBLICE TECUCI,RO29358725,COMPANIA DE UTILITATI PUBLICE TECUCI SRL
RO16BACX0000001300939003,ELECTROPUTERE PARC SRL,RO29301141,ELECTROPUTERE PARC SRL
RO11BACX0000000206685003,KARCHER ROMANIA SRL,RO23533592,KARCHER ROMANIA S.R.L.
RO80BRMA102000026000RO01,IRIDEX GROUP SALUBRIZARE SRL,RO24342060,IRIDEX GROUP SALUBRIZARE SRL
RO15BREL0000RON195505323,CONSULT IMOBIL SRL,RO15374780,CONSULT IMOBIL SRL
RO22INGB0000999902190193,Discovery Service,26625330,DISCOVERY SERVICE SRL
RO27RZBR0000060023161567,SUPERNOVA BACAU RO S.R.L.,RO44873961,SUPERNOVA BACAU RO S.R.L.
RO54BRDE360SV07195093600,RETIM ECOLOGIC SERVICE SA,RO9112229,RETIM ECOLOGIC SERVICE SA
RO24BTRLRONCRT0683261502,CALAFAT INVESTRE S.R.L.,46198322,CALAFAT INVESTRE S.R.L.
RO94RNCB0070177896370002,S7 PITESTI PROPERTY S.R.L.,RO43744217,S7 PITESTI PROPERTY S.R.L.
RO87BACX0000000070037310,RER Ecologic Service Bucuresti REBU,RO9357725,RER Ecologic Service Bucuresti REBU SA
RO75RNCB0234036996110001,MOLDO MEX,14644583,MOLDO MEX SRL
RO46UGBI0000052016385RON,Alfa Prevent SRL,34592012,ALFA PREVENT SRL
RO51RZBR0000060012211872,SOS INFERTILITATEA,,
9.99904E+11,Nespecificat,,
